Route ID,Origin,Destination,Summary,Via
Ahmedabad-Gandhinagar-Route-3-Ahmedabad - Patan Hi,Ahmedabad,Gandhinagar,Ahmedabad - Patan Highway Rd,"Turn right toward Nehru Brg → Turn left onto Mahaveer Marg → Head north on Ashram Rd/<wbr/>Paldi Rd toward Sheth Mangaldas Rd/<wbr/>Swami Vivekananda Rd<div style=""font-size:0.9em"">Continue to follow Ashram Rd</div><div style=""font-size:0.9em"">Pass by Town Hall, Ellis Bridge (on the left)</div> → Continue onto Nehru Brg → Continue onto Rustom Cama Marg"
Ahmedabad-Junagadh-Route-1-NH 47 and NH 27,Ahmedabad,Junagadh,NH 47 and NH 27,"Make a U-turn<div style=""font-size:0.9em"">Continue to follow Paldi Rd</div><div style=""font-size:0.9em"">Pass by Town Hall, Ellis Bridge (on the left)</div> → Head north on Ashram Rd/<wbr/>Paldi Rd → Keep right to continue on Chhatrapati Shivaji Maharaj Flyover/<wbr/>Sushma Swaraj Fly Overbridge → At Mahalaxmi Cross Rd, continue onto Freniben Desai Marg/<wbr/>Mahalaxmi Five Rd → Merge onto Vasna Rd<div style=""font-size:0.9em"">Pass by Azam And Muazzam's Na Roza (on the left)</div>"
Ahmedabad-Junagadh-Route-2-GJ SH 1,Ahmedabad,Junagadh,GJ SH 1,"Make a U-turn<div style=""font-size:0.9em"">Continue to follow Paldi Rd</div><div style=""font-size:0.9em"">Pass by Town Hall, Ellis Bridge (on the left)</div> → Head north on Ashram Rd/<wbr/>Paldi Rd → Keep right to continue on Chhatrapati Shivaji Maharaj Flyover/<wbr/>Sushma Swaraj Fly Overbridge → At Mahalaxmi Cross Rd, continue onto Freniben Desai Marg/<wbr/>Mahalaxmi Five Rd → Merge onto Vasna Rd<div style=""font-size:0.9em"">Pass by Azam And Muazzam's Na Roza (on the left)</div>"
Ahmedabad-Junagadh-Route-3-GJ SH 36,Ahmedabad,Junagadh,GJ SH 36,"Make a U-turn<div style=""font-size:0.9em"">Continue to follow Paldi Rd</div><div style=""font-size:0.9em"">Pass by Town Hall, Ellis Bridge (on the left)</div> → Head north on Ashram Rd/<wbr/>Paldi Rd → Keep right to continue on Chhatrapati Shivaji Maharaj Flyover/<wbr/>Sushma Swaraj Fly Overbridge → At Mahalaxmi Cross Rd, continue onto Freniben Desai Marg/<wbr/>Mahalaxmi Five Rd → Merge onto Vasna Rd<div style=""font-size:0.9em"">Pass by Azam And Muazzam's Na Roza (on the left)</div>"
Ahmedabad-Kutch-Route-1-NH 754K,Ahmedabad,Kutch,NH 754K,"Turn right toward Nehru Brg → Turn left onto Mahaveer Marg → Head north on Ashram Rd/<wbr/>Paldi Rd toward Sheth Mangaldas Rd/<wbr/>Swami Vivekananda Rd<div style=""font-size:0.9em"">Continue to follow Ashram Rd</div><div style=""font-size:0.9em"">Pass by Town Hall, Ellis Bridge (on the left)</div> → Continue onto Nehru Brg → Continue onto Rustom Cama Marg"
Ahmedabad-Kutch-Route-2-GJ SH 18 and NH 754K,Ahmedabad,Kutch,GJ SH 18 and NH 754K,"Make a U-turn<div style=""font-size:0.9em"">Continue to follow Paldi Rd</div><div style=""font-size:0.9em"">Pass by Town Hall, Ellis Bridge (on the left)</div> → Head north on Ashram Rd/<wbr/>Paldi Rd → Keep right to continue on Chhatrapati Shivaji Maharaj Flyover/<wbr/>Sushma Swaraj Fly Overbridge → At Mahalaxmi Cross Rd, continue onto Freniben Desai Marg/<wbr/>Mahalaxmi Five Rd → Merge onto Vasna Rd<div style=""font-size:0.9em"">Pass by Azam And Muazzam's Na Roza (on the left)</div>"
Ahmedabad-Kutch-Route-3-GJ SH 7,Ahmedabad,Kutch,GJ SH 7,"Make a U-turn<div style=""font-size:0.9em"">Continue to follow Paldi Rd</div><div style=""font-size:0.9em"">Pass by Town Hall, Ellis Bridge (on the left)</div> → Head north on Ashram Rd/<wbr/>Paldi Rd → Keep right to continue on Chhatrapati Shivaji Maharaj Flyover/<wbr/>Sushma Swaraj Fly Overbridge → At Mahalaxmi Cross Rd, continue onto Freniben Desai Marg/<wbr/>Mahalaxmi Five Rd → Merge onto Vasna Rd<div style=""font-size:0.9em"">Pass by Azam And Muazzam's Na Roza (on the left)</div>"
"Ahmedabad-Navsari-Route-1-NE 1, NE 4 and NH 48",Ahmedabad,Navsari,"NE 1, NE 4 and NH 48","Turn right onto Swami Vivekananda Rd<div style=""font-size:0.9em"">Pass by Town Hall, Ellis Bridge (on the left)</div> → Head north on Ashram Rd/<wbr/>Paldi Rd → Turn right after New Sarvottam Chawana &amp; Sweet Mart (on the right)<div style=""font-size:0.9em"">Pass by India Post Office (on the left)</div> → Continue onto Swami Vivekananda Pool → Continue onto Swami Vivekananda Rd<div style=""font-size:0.9em"">Go through 1 roundabout</div><div style=""font-size:0.9em"">Pass by Rani Sipri Ki Masjid Astodia (on the left in 1.4 km)</div>"
Ahmedabad-Nadiad-Route-1-NE 1,Ahmedabad,Nadiad,NE 1,"Turn right onto Swami Vivekananda Rd<div style=""font-size:0.9em"">Pass by Town Hall, Ellis Bridge (on the left)</div> → Head north on Ashram Rd/<wbr/>Paldi Rd → Turn right after New Sarvottam Chawana &amp; Sweet Mart (on the right)<div style=""font-size:0.9em"">Pass by India Post Office (on the left)</div> → Continue onto Swami Vivekananda Pool → Continue onto Swami Vivekananda Rd<div style=""font-size:0.9em"">Go through 1 roundabout</div><div style=""font-size:0.9em"">Pass by Rani Sipri Ki Masjid Astodia (on the left in 1.4 km)</div>"
Ahmedabad-Nadiad-Route-2-NH64,Ahmedabad,Nadiad,NH64,"Turn right onto Swami Vivekananda Rd<div style=""font-size:0.9em"">Pass by Town Hall, Ellis Bridge (on the left)</div> → Head north on Ashram Rd/<wbr/>Paldi Rd → Continue onto Swami Vivekananda Rd → Continue onto Swami Vivekananda Pool → Turn right onto Gujari Rd"
Ahmedabad-Patan-Route-1-Ahmedabad - Palanpur,Ahmedabad,Patan,Ahmedabad - Palanpur Highway Rd/Ahmedabad - Patan Highway Rd and Ahmedabad - Patan Highway Rd,"Turn right toward Nehru Brg → Turn left onto Mahaveer Marg → Head north on Ashram Rd/<wbr/>Paldi Rd toward Sheth Mangaldas Rd/<wbr/>Swami Vivekananda Rd<div style=""font-size:0.9em"">Continue to follow Ashram Rd</div><div style=""font-size:0.9em"">Pass by Town Hall, Ellis Bridge (on the left)</div> → Continue onto Nehru Brg → Continue onto Rustom Cama Marg"
Ahmedabad-Patan-Route-2-Gandhinagar Link Rd,Ahmedabad,Patan,Gandhinagar Link Rd,"Turn right toward Nehru Brg → Turn left onto Mahaveer Marg → Head north on Ashram Rd/<wbr/>Paldi Rd toward Sheth Mangaldas Rd/<wbr/>Swami Vivekananda Rd<div style=""font-size:0.9em"">Continue to follow Ashram Rd</div><div style=""font-size:0.9em"">Pass by Town Hall, Ellis Bridge (on the left)</div> → Continue onto Nehru Brg → Continue onto Rustom Cama Marg"
Ahmedabad-Patan-Route-3-Ahmedabad - Palanpur,Ahmedabad,Patan,Ahmedabad - Palanpur Highway Rd/Ahmedabad - Patan Highway Rd,"Keep right to continue on Chandrashekhar Azad Flyover → At Navrang Cir, take the 2nd exit onto Pujyashri Narayanbhai Marg<div style=""font-size:0.9em"">Pass by Navarang School (on the right)</div> → Merge onto Ashram Rd → Turn left onto 120 Feet Ring Rd<div style=""font-size:0.9em"">Go through 1 roundabout</div><div style=""font-size:0.9em"">Pass by NABARD Towers (on the right)</div> → Head north on Ashram Rd/<wbr/>Paldi Rd toward Sheth Mangaldas Rd/<wbr/>Swami Vivekananda Rd<div style=""font-size:0.9em"">Continue to follow Ashram Rd</div><div style=""font-size:0.9em"">Pass by Town Hall, Ellis Bridge (on the left)</div>"
Ahmedabad-Morbi-Route-1-GJ SH 7,Ahmedabad,Morbi,GJ SH 7,"Make a U-turn<div style=""font-size:0.9em"">Continue to follow Paldi Rd</div><div style=""font-size:0.9em"">Pass by Town Hall, Ellis Bridge (on the left)</div> → Head north on Ashram Rd/<wbr/>Paldi Rd → Keep right to continue on Chhatrapati Shivaji Maharaj Flyover/<wbr/>Sushma Swaraj Fly Overbridge → At Mahalaxmi Cross Rd, continue onto Freniben Desai Marg/<wbr/>Mahalaxmi Five Rd → Merge onto Vasna Rd<div style=""font-size:0.9em"">Pass by Azam And Muazzam's Na Roza (on the left)</div>"
Ahmedabad-Morbi-Route-2-NH 47,Ahmedabad,Morbi,NH 47,"Make a U-turn<div style=""font-size:0.9em"">Continue to follow Paldi Rd</div><div style=""font-size:0.9em"">Pass by Town Hall, Ellis Bridge (on the left)</div> → Head north on Ashram Rd/<wbr/>Paldi Rd → Keep right to continue on Chhatrapati Shivaji Maharaj Flyover/<wbr/>Sushma Swaraj Fly Overbridge → At Mahalaxmi Cross Rd, continue onto Freniben Desai Marg/<wbr/>Mahalaxmi Five Rd → Merge onto Vasna Rd<div style=""font-size:0.9em"">Pass by Azam And Muazzam's Na Roza (on the left)</div>"
Ahmedabad-Bharuch-Route-1-NE 1 and NE 4,Ahmedabad,Bharuch,NE 1 and NE 4,"Turn right onto Swami Vivekananda Rd<div style=""font-size:0.9em"">Pass by Town Hall, Ellis Bridge (on the left)</div> → Head north on Ashram Rd/<wbr/>Paldi Rd → Turn right after New Sarvottam Chawana &amp; Sweet Mart (on the right)<div style=""font-size:0.9em"">Pass by India Post Office (on the left)</div> → Continue onto Swami Vivekananda Pool → Continue onto Swami Vivekananda Rd<div style=""font-size:0.9em"">Go through 1 roundabout</div><div style=""font-size:0.9em"">Pass by Rani Sipri Ki Masjid Astodia (on the left in 1.4 km)</div>"
Ahmedabad-Bharuch-Route-2-NH64 and NE 4,Ahmedabad,Bharuch,NH64 and NE 4,"Turn right onto Swami Vivekananda Rd<div style=""font-size:0.9em"">Pass by Town Hall, Ellis Bridge (on the left)</div> → Head north on Ashram Rd/<wbr/>Paldi Rd → Continue onto Swami Vivekananda Rd → Continue onto Swami Vivekananda Pool → Turn right onto Gujari Rd"
Ahmedabad-Bharuch-Route-3-NE 1 and NH 48/NH64,Ahmedabad,Bharuch,NE 1 and NH 48/NH64,"Turn right onto Swami Vivekananda Rd<div style=""font-size:0.9em"">Pass by Town Hall, Ellis Bridge (on the left)</div> → Head north on Ashram Rd/<wbr/>Paldi Rd → Turn right after New Sarvottam Chawana &amp; Sweet Mart (on the right)<div style=""font-size:0.9em"">Pass by India Post Office (on the left)</div> → Continue onto Swami Vivekananda Pool → Continue onto Swami Vivekananda Rd<div style=""font-size:0.9em"">Go through 1 roundabout</div><div style=""font-size:0.9em"">Pass by Rani Sipri Ki Masjid Astodia (on the left in 1.4 km)</div>"
Surat-Ahmedabad-Route-1-NE 4 and NE 1,Surat,Ahmedabad,NE 4 and NE 1,"Turn left onto Rajendera Prasad Rd → Head south on Hotel Fountain Rd → Turn left toward Rajendera Prasad Rd → Continue onto S Zone Rd → At Shree Chosath Joganiyo Mata Mandir Cir, take the 3rd exit onto Udhana - Magdalla Rd<div style=""font-size:0.9em"">Pass by President Motors (on the right)</div>"
Surat-Vadodara-Route-1-NH 48,Surat,Vadodara,NH 48,"Turn left onto Rajendera Prasad Rd → Head south on Hotel Fountain Rd → Turn left toward Rajendera Prasad Rd → Continue onto S Zone Rd → At Shree Chosath Joganiyo Mata Mandir Cir, take the 3rd exit onto Udhana - Magdalla Rd<div style=""font-size:0.9em"">Pass by President Motors (on the right)</div>"
Surat-Vadodara-Route-2-NH64 and NH 48/NH64,Surat,Vadodara,NH64 and NH 48/NH64,"Turn right → At Komal Cir, take the 2nd exit onto Bamroli Rd<div style=""font-size:0.9em"">Pass by the gas station (on the left in 350m)</div> → Turn left onto Jay Prakash Narayan Marg → Head south on Hotel Fountain Rd → Continue straight to stay on Bamroli Rd<div style=""font-size:0.9em"">Pass by Unique Hospital (on the left)</div>"
Surat-Vapi-Route-1-NH 48,Surat,Vapi,NH 48,"At the roundabout, take the 3rd exit onto Chattrapati Sambhaji Marg/<wbr/>Dr Hedgewar Rd → Head south on Hotel Fountain Rd → Turn right at the 1st cross street onto Rajendera Prasad Rd → Turn left toward Rajendera Prasad Rd → At Sikon Cir, take the 1st exit onto 120 Feet Bamroli Rd/<wbr/>Bamroli Rd<div style=""font-size:0.9em"">Go through 2 roundabouts</div><div style=""font-size:0.9em"">Pass by Piyush Point (on the left in 1.5 km)</div>"
Surat-Rajkot-Route-1-NH 47,Surat,Rajkot,NH 47,"Turn left onto Rajendera Prasad Rd → Head south on Hotel Fountain Rd → Turn left toward Rajendera Prasad Rd → Continue onto S Zone Rd → At Shree Chosath Joganiyo Mata Mandir Cir, take the 3rd exit onto Udhana - Magdalla Rd<div style=""font-size:0.9em"">Pass by President Motors (on the right)</div>"
Surat-Bhavnagar-Route-1-NH53,Surat,Bhavnagar,NH53,"Turn right → Turn left onto Service Rd → At Komal Cir, take the 2nd exit onto Bamroli Rd<div style=""font-size:0.9em"">Pass by the gas station (on the left in 350m)</div> → Head south on Hotel Fountain Rd → Keep right to continue on Udhana - Magdalla Rd"
Surat-Bhavnagar-Route-2-NE 4,Surat,Bhavnagar,NE 4,"Turn left onto Rajendera Prasad Rd → Head south on Hotel Fountain Rd → Turn left toward Rajendera Prasad Rd → Continue onto S Zone Rd → At Shree Chosath Joganiyo Mata Mandir Cir, take the 3rd exit onto Udhana - Magdalla Rd<div style=""font-size:0.9em"">Pass by President Motors (on the right)</div>"
Surat-Bhavnagar-Route-3-NE 4 and NE 1,Surat,Bhavnagar,NE 4 and NE 1,"Turn left onto Rajendera Prasad Rd → Head south on Hotel Fountain Rd → Turn left toward Rajendera Prasad Rd → Continue onto S Zone Rd → At Shree Chosath Joganiyo Mata Mandir Cir, take the 3rd exit onto Udhana - Magdalla Rd<div style=""font-size:0.9em"">Pass by President Motors (on the right)</div>"
Surat-Gandhinagar-Route-1-NE 4 and NE 1,Surat,Gandhinagar,NE 4 and NE 1,"Turn left onto Rajendera Prasad Rd → Head south on Hotel Fountain Rd → Turn left toward Rajendera Prasad Rd → Continue onto S Zone Rd → At Shree Chosath Joganiyo Mata Mandir Cir, take the 3rd exit onto Udhana - Magdalla Rd<div style=""font-size:0.9em"">Pass by President Motors (on the right)</div>"
Surat-Junagadh-Route-1-NH 47,Surat,Junagadh,NH 47,"Turn left onto Rajendera Prasad Rd → Head south on Hotel Fountain Rd → Turn left toward Rajendera Prasad Rd → Continue onto S Zone Rd → At Shree Chosath Joganiyo Mata Mandir Cir, take the 3rd exit onto Udhana - Magdalla Rd<div style=""font-size:0.9em"">Pass by President Motors (on the right)</div>"
Surat-Junagadh-Route-2-NE 4,Surat,Junagadh,NE 4,"Turn left onto Rajendera Prasad Rd → Head south on Hotel Fountain Rd → Turn left toward Rajendera Prasad Rd → Continue onto S Zone Rd → At Shree Chosath Joganiyo Mata Mandir Cir, take the 3rd exit onto Udhana - Magdalla Rd<div style=""font-size:0.9em"">Pass by President Motors (on the right)</div>"
Surat-Junagadh-Route-3-NE 4 and NH 751D,Surat,Junagadh,NE 4 and NH 751D,"Turn left onto Rajendera Prasad Rd → Head south on Hotel Fountain Rd → Turn left toward Rajendera Prasad Rd → Continue onto S Zone Rd → At Shree Chosath Joganiyo Mata Mandir Cir, take the 3rd exit onto Udhana - Magdalla Rd<div style=""font-size:0.9em"">Pass by President Motors (on the right)</div>"
Surat-Kutch-Route-1-NH 754K,Surat,Kutch,NH 754K,"Turn left onto Rajendera Prasad Rd → Head south on Hotel Fountain Rd → Turn left toward Rajendera Prasad Rd → Continue onto S Zone Rd → At Shree Chosath Joganiyo Mata Mandir Cir, take the 3rd exit onto Udhana - Magdalla Rd<div style=""font-size:0.9em"">Pass by President Motors (on the right)</div>"
Surat-Kutch-Route-2-NE 4,Surat,Kutch,NE 4,"Turn left onto Rajendera Prasad Rd → Head south on Hotel Fountain Rd → Turn left toward Rajendera Prasad Rd → Continue onto S Zone Rd → At Shree Chosath Joganiyo Mata Mandir Cir, take the 3rd exit onto Udhana - Magdalla Rd<div style=""font-size:0.9em"">Pass by President Motors (on the right)</div>"
Surat-Kutch-Route-3-GJ SH 7,Surat,Kutch,GJ SH 7,"Turn right → Turn left onto Service Rd → At Komal Cir, take the 2nd exit onto Bamroli Rd<div style=""font-size:0.9em"">Pass by the gas station (on the left in 350m)</div> → Head south on Hotel Fountain Rd → Keep right to continue on Udhana - Magdalla Rd"
Surat-Navsari-Route-1-NH53 and NH 48,Surat,Navsari,NH53 and NH 48,"At the roundabout, take the 3rd exit onto Chattrapati Sambhaji Marg/<wbr/>Dr Hedgewar Rd → Head south on Hotel Fountain Rd → Turn right at the 1st cross street onto Rajendera Prasad Rd → Turn left toward Rajendera Prasad Rd → At Sikon Cir, take the 1st exit onto 120 Feet Bamroli Rd/<wbr/>Bamroli Rd<div style=""font-size:0.9em"">Go through 2 roundabouts</div><div style=""font-size:0.9em"">Pass by Piyush Point (on the left in 1.5 km)</div>"
Surat-Navsari-Route-2-Surat - Navsari Rd,Surat,Navsari,Surat - Navsari Rd,"At the roundabout, take the 1st exit onto Dr Hedgewar Rd<div style=""font-size:0.9em"">Go through 1 roundabout</div><div style=""font-size:0.9em"">Pass by Ashanagar Masjid (on the right in 450m)</div> → At the roundabout, take the 2nd exit onto Deen Dayal Upadhaya Rd → Head south on Hotel Fountain Rd → Turn right at the 1st cross street onto Rajendera Prasad Rd → Turn left toward Rajendera Prasad Rd"
Surat-Nadiad-Route-1-NE 4,Surat,Nadiad,NE 4,"Turn left onto Rajendera Prasad Rd → Head south on Hotel Fountain Rd → Turn left toward Rajendera Prasad Rd → Continue onto S Zone Rd → At Shree Chosath Joganiyo Mata Mandir Cir, take the 3rd exit onto Udhana - Magdalla Rd<div style=""font-size:0.9em"">Pass by President Motors (on the right)</div>"
Surat-Patan-Route-1-NE 4,Surat,Patan,NE 4,"Turn left onto Rajendera Prasad Rd → Head south on Hotel Fountain Rd → Turn left toward Rajendera Prasad Rd → Continue onto S Zone Rd → At Shree Chosath Joganiyo Mata Mandir Cir, take the 3rd exit onto Udhana - Magdalla Rd<div style=""font-size:0.9em"">Pass by President Motors (on the right)</div>"
Surat-Patan-Route-2-NH 48,Surat,Patan,NH 48,"Turn left onto Rajendera Prasad Rd → Head south on Hotel Fountain Rd → Turn left toward Rajendera Prasad Rd → Continue onto S Zone Rd → At Shree Chosath Joganiyo Mata Mandir Cir, take the 3rd exit onto Udhana - Magdalla Rd<div style=""font-size:0.9em"">Pass by President Motors (on the right)</div>"
Surat-Morbi-Route-1-NH 47,Surat,Morbi,NH 47,"Turn left onto Rajendera Prasad Rd → Head south on Hotel Fountain Rd → Turn left toward Rajendera Prasad Rd → Continue onto S Zone Rd → At Shree Chosath Joganiyo Mata Mandir Cir, take the 3rd exit onto Udhana - Magdalla Rd<div style=""font-size:0.9em"">Pass by President Motors (on the right)</div>"
Surat-Bharuch-Route-1-NH 48,Surat,Bharuch,NH 48,"Turn left onto Rajendera Prasad Rd → Head south on Hotel Fountain Rd → Turn left toward Rajendera Prasad Rd → Continue onto S Zone Rd → At Shree Chosath Joganiyo Mata Mandir Cir, take the 3rd exit onto Udhana - Magdalla Rd<div style=""font-size:0.9em"">Pass by President Motors (on the right)</div>"
Surat-Bharuch-Route-2-NH64,Surat,Bharuch,NH64,"Turn right → At Komal Cir, take the 2nd exit onto Bamroli Rd<div style=""font-size:0.9em"">Pass by the gas station (on the left in 350m)</div> → Turn left onto Jay Prakash Narayan Marg → Head south on Hotel Fountain Rd → Continue straight to stay on Bamroli Rd<div style=""font-size:0.9em"">Pass by Unique Hospital (on the left)</div>"
Vadodara-Ahmedabad-Route-1-NE 1,Vadodara,Ahmedabad,NE 1,"Head south on Lehripura New Rd toward Sadhana Talkies Ln<div style=""font-size:0.9em"">Pass by Police post Mangal Bazar (on the left)</div> → Turn right at Bhagat Singh Chowk toward Munshis Ln<div style=""font-size:0.9em"">Pass by Mukhtyar (on the right)</div> → Turn right at AMOD SINGH toward Munshis Ln → Turn left at CHUNARA VIRAL MANOJBHAI onto Munshis Ln<div style=""font-size:0.9em"">Pass by Lovely Dresses (on the right)</div> → Turn right at Compressor &amp; Parts<div style=""font-size:0.9em"">Pass by Lovely Pan (on the left)</div>"
Vadodara-Ahmedabad-Route-2-NH64,Vadodara,Ahmedabad,NH64,"Head south on Lehripura New Rd toward Sadhana Talkies Ln<div style=""font-size:0.9em"">Pass by Police post Mangal Bazar (on the left)</div> → Turn right at Bhagat Singh Chowk toward Munshis Ln<div style=""font-size:0.9em"">Pass by Mukhtyar (on the right)</div> → Turn right at AMOD SINGH toward Munshis Ln → Turn left at CHUNARA VIRAL MANOJBHAI onto Munshis Ln<div style=""font-size:0.9em"">Pass by Lovely Dresses (on the right)</div> → Turn right at Compressor &amp; Parts<div style=""font-size:0.9em"">Pass by Lovely Pan (on the left)</div>"
Vadodara-Surat-Route-1-NH 48/NH64 and NH 48,Vadodara,Surat,NH 48/NH64 and NH 48,"Keep right to continue on Kanaiyalal Munshi Marg/<wbr/>Pratap Nagar Bridge/<wbr/>Pratap Nagar - Makarpura Rd<div style=""font-size:0.9em"">Pass by RAJ AUTO ELECTRIC SERVICE [ PRATAP NAGAR BRANCH ] (on the left in 300m)</div> → Head south on Lehripura New Rd toward Sadhana Talkies Ln<div style=""font-size:0.9em"">Pass by Police post Mangal Bazar (on the left)</div> → At Sussen Cir, take the 2nd exit onto Makarpura Rd/<wbr/>Pratap Nagar - Makarpura Rd<div style=""font-size:0.9em"">Continue to follow Makarpura Rd</div><div style=""font-size:0.9em"">Pass by Dhamaka Shikanji (on the left)</div> → Turn right at Gendi Gate onto Chokhandi Main Rd/<wbr/>Kanaiyalal Munshi Marg<div style=""font-size:0.9em"">Continue to follow Kanaiyalal Munshi Marg</div><div style=""font-size:0.9em"">Pass by Krunal Appliances (on the left)</div> → Turn left at Zeel JAYESH BHAI onto Sant Kabir Rd<div style=""font-size:0.9em"">Pass by Ranjan Bldg (on the left)</div>"
