Route ID,Origin,Destination,Route_Summary,Route_Distance_km,Route_Type,Traffic,Weather,Cargo_Weight_kg,Fuel_Efficiency_kmpl,Adjusted_Efficiency,Fuel_Used_Litres,CO2_Emissions_kg
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Urban,Low,Storm,10561.28,2.97,2.53,123.43,330.8
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Mixed,Low,Storm,16776.21,4.43,3.76,82.81,221.92
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Highway,Medium,Clear,18636.22,3.76,3.39,92.05,246.69
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Urban,Medium,Clear,12629.77,2.62,2.35,132.42,354.87
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Mixed,Medium,Clear,5309.85,3.91,3.52,88.48,237.12
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Highway,Medium,Rainy,4159.79,4.15,3.17,98.29,263.41
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Urban,Medium,Rainy,6674.0,2.68,2.05,152.25,408.02
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Mixed,Medium,Rainy,4698.6,3.86,2.95,105.57,282.94
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Highway,Medium,Foggy,10094.36,3.74,2.86,108.89,291.82
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Urban,Medium,Foggy,5756.5,3.03,2.32,134.55,360.58
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Mixed,Medium,Foggy,12263.04,2.95,2.26,138.12,370.15
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Highway,Medium,Summer,5444.14,3.19,2.73,114.24,306.16
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Urban,Medium,Summer,15101.37,2.65,2.26,137.73,369.1
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Mixed,Medium,Summer,15378.24,2.67,2.28,136.5,365.81
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Highway,Medium,Storm,3382.49,3.08,2.36,132.33,354.65
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Urban,Medium,Storm,11320.85,4.43,3.39,91.98,246.51
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Mixed,Medium,Storm,19884.88,2.88,2.2,141.54,379.32
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Highway,High,Clear,14141.48,3.92,2.94,106.12,284.4
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Urban,High,Clear,12483.04,3.31,2.48,125.44,336.18
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Mixed,High,Clear,9902.97,3.58,2.69,115.93,310.68
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Highway,High,Rainy,16735.91,3.9,2.49,125.33,335.88
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Urban,High,Rainy,4137.32,2.53,1.61,193.39,518.28
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Mixed,High,Rainy,15511.37,4.41,2.81,110.94,297.33
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Highway,High,Foggy,11386.41,3.15,2.01,155.43,416.56
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Urban,High,Foggy,15321.21,3.89,2.48,125.57,336.54
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Mixed,High,Foggy,12302.76,2.87,1.83,170.32,456.46
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Highway,High,Summer,11646.04,2.62,1.87,166.87,447.21
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Urban,High,Summer,6125.49,2.55,1.81,171.84,460.52
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Mixed,High,Summer,13698.1,3.24,2.31,135.16,362.23
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Highway,High,Storm,15766.49,2.53,1.61,193.04,517.35
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Urban,High,Storm,11905.75,3.99,2.54,122.49,328.26
Ahmedabad-Surat-Route-1-NE 1 and NE 4,Ahmedabad,Surat,NE 1 and NE 4,311.67,Mixed,High,Storm,6431.46,2.67,1.7,183.19,490.95
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Highway,Low,Clear,3755.48,4.24,4.24,93.53,250.66
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Urban,Low,Clear,16511.01,2.57,2.57,153.94,412.55
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Mixed,Low,Clear,7538.52,2.66,2.66,148.92,399.1
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Highway,Low,Rainy,8883.51,3.74,3.18,124.77,334.39
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Urban,Low,Rainy,17559.93,2.96,2.52,157.22,421.36
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Mixed,Low,Rainy,5329.63,4.27,3.63,109.2,292.64
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Highway,Low,Foggy,10543.41,2.97,2.53,156.68,419.91
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Urban,Low,Foggy,9996.37,2.73,2.32,170.94,458.12
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Mixed,Low,Foggy,15499.24,4.37,3.71,106.67,285.86
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Highway,Low,Summer,2404.64,4.17,3.97,99.89,267.71
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Urban,Low,Summer,2907.67,3.82,3.63,109.16,292.55
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Mixed,Low,Summer,13769.14,4.32,4.1,96.63,258.98
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Highway,Low,Storm,5621.36,4.18,3.55,111.45,298.7
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Urban,Low,Storm,2477.41,2.93,2.49,158.85,425.72
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Mixed,Low,Storm,9872.01,4.15,3.53,112.26,300.86
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Highway,Medium,Clear,4950.26,2.55,2.29,172.92,463.41
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Urban,Medium,Clear,2636.25,4.45,4.0,99.02,265.38
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Mixed,Medium,Clear,17935.8,2.95,2.66,148.97,399.24
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Highway,Medium,Rainy,13769.83,4.07,3.11,127.21,340.93
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Urban,Medium,Rainy,17867.83,3.25,2.48,159.43,427.27
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Mixed,Medium,Rainy,18751.62,2.92,2.23,177.48,475.64
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Highway,Medium,Foggy,16781.83,3.13,2.39,165.46,443.44
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Urban,Medium,Foggy,8931.03,3.57,2.73,145.1,388.87
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Mixed,Medium,Foggy,12515.57,4.09,3.13,126.62,339.34
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Highway,Medium,Summer,14732.42,4.03,3.44,115.01,308.22
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Urban,Medium,Summer,4489.47,2.94,2.52,157.35,421.69
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Mixed,Medium,Summer,19101.51,3.86,3.3,119.96,321.5
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Highway,Medium,Storm,12088.36,2.89,2.21,179.38,480.73
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Urban,Medium,Storm,4936.63,3.2,2.44,162.07,434.34
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Mixed,Medium,Storm,17538.38,3.96,3.03,130.84,350.66
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Highway,High,Clear,11233.86,3.28,2.46,161.25,432.16
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Urban,High,Clear,3346.7,3.76,2.82,140.32,376.06
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Mixed,High,Clear,5307.0,3.3,2.47,160.09,429.03
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Highway,High,Rainy,5984.03,4.01,2.56,154.79,414.83
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Urban,High,Rainy,19103.48,3.25,2.07,191.23,512.49
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Mixed,High,Rainy,19761.93,2.87,1.83,216.54,580.33
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Highway,High,Foggy,15928.56,4.01,2.56,154.84,414.97
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Urban,High,Foggy,2135.24,2.69,1.72,230.61,618.04
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Mixed,High,Foggy,4493.52,2.51,1.6,247.18,662.45
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Highway,High,Summer,10341.29,2.81,2.0,197.65,529.7
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Urban,High,Summer,12094.46,2.69,1.92,206.54,553.51
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Mixed,High,Summer,7747.88,4.38,3.12,127.05,340.48
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Highway,High,Storm,15568.88,4.45,2.84,139.63,374.2
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Urban,High,Storm,11917.02,3.03,1.93,204.98,549.34
Ahmedabad-Vadodara-Route-1-NE 1,Ahmedabad,Vadodara,NE 1,396.16,Mixed,High,Storm,6283.69,3.23,2.06,192.13,514.9
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Highway,Low,Clear,17354.56,2.69,2.69,49.62,132.99
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Urban,Low,Clear,8162.28,3.91,3.91,34.16,91.56
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Mixed,Low,Clear,14985.62,3.41,3.41,39.24,105.16
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Highway,Low,Rainy,5033.22,3.82,3.25,41.17,110.34
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Urban,Low,Rainy,3766.8,2.91,2.48,53.95,144.58
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Mixed,Low,Rainy,17006.06,3.62,3.07,43.47,116.49
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Highway,Low,Foggy,11356.71,2.62,2.23,59.96,160.69
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Urban,Low,Foggy,2301.25,3.51,2.98,44.8,120.05
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Mixed,Low,Foggy,7228.95,4.28,3.64,36.71,98.38
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Highway,Low,Summer,6483.14,2.6,2.47,54.12,145.05
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Urban,Low,Summer,11092.17,3.91,3.71,36.02,96.53
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Mixed,Low,Summer,7734.61,4.2,3.99,33.5,89.78
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Highway,Low,Storm,2170.75,3.8,3.23,41.33,110.76
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Urban,Low,Storm,2558.13,2.6,2.21,60.43,161.94
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Mixed,Low,Storm,13420.58,4.2,3.57,37.46,100.4
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Highway,Medium,Clear,16799.7,4.39,3.95,33.83,90.65
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Urban,Medium,Clear,19022.91,4.42,3.98,33.61,90.09
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Mixed,Medium,Clear,4163.28,3.43,3.09,43.28,116.0
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Highway,Medium,Rainy,13943.28,3.12,2.38,56.08,150.3
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Urban,Medium,Rainy,18579.24,2.64,2.02,66.25,177.56
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Mixed,Medium,Rainy,14968.21,2.68,2.05,65.29,174.97
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Highway,Medium,Foggy,7459.18,3.24,2.48,53.84,144.29
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Urban,Medium,Foggy,7307.96,2.95,2.26,59.14,158.5
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Mixed,Medium,Foggy,4787.8,3.07,2.35,56.87,152.42
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Highway,Medium,Summer,18452.67,3.04,2.6,51.4,137.75
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Urban,Medium,Summer,9322.27,3.15,2.69,49.68,133.14
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Mixed,Medium,Summer,7375.02,3.68,3.15,42.46,113.8
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Highway,Medium,Storm,2348.16,3.79,2.9,46.13,123.63
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Urban,Medium,Storm,9502.31,2.86,2.19,60.99,163.46
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Mixed,Medium,Storm,2475.18,2.98,2.28,58.69,157.3
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Highway,High,Clear,17123.36,3.27,2.46,54.43,145.87
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Urban,High,Clear,19574.38,3.27,2.45,54.48,146.02
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Mixed,High,Clear,17302.32,3.1,2.32,57.57,154.28
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Highway,High,Rainy,15655.63,3.72,2.37,56.43,151.23
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Urban,High,Rainy,7005.4,4.5,2.87,46.62,124.93
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Mixed,High,Rainy,16395.92,3.21,2.05,65.21,174.77
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Highway,High,Foggy,9184.88,3.49,2.23,60.02,160.87
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Urban,High,Foggy,14181.83,4.1,2.61,51.15,137.09
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Mixed,High,Foggy,3863.79,3.3,2.1,63.5,170.18
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Highway,High,Summer,7275.49,3.97,2.83,47.23,126.57
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Urban,High,Summer,13213.33,2.55,1.82,73.62,197.3
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Mixed,High,Summer,8725.93,2.86,2.04,65.48,175.48
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Highway,High,Storm,14293.77,3.11,1.99,67.32,180.41
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Urban,High,Storm,13672.5,2.91,1.85,72.09,193.19
Ahmedabad-Vapi-Route-1-NE 4 and NH 48,Ahmedabad,Vapi,NE 4 and NH 48,133.65,Mixed,High,Storm,17227.51,3.43,2.19,61.11,163.78
Ahmedabad-Rajkot-Route-1-NH 47,Ahmedabad,Rajkot,NH 47,441.42,Highway,Low,Clear,15800.72,3.33,3.33,132.75,355.78
Ahmedabad-Rajkot-Route-1-NH 47,Ahmedabad,Rajkot,NH 47,441.42,Urban,Low,Clear,12863.94,3.31,3.31,133.27,357.18
Ahmedabad-Rajkot-Route-1-NH 47,Ahmedabad,Rajkot,NH 47,441.42,Mixed,Low,Clear,19723.08,3.03,3.03,145.51,389.96
Ahmedabad-Rajkot-Route-1-NH 47,Ahmedabad,Rajkot,NH 47,441.42,Highway,Low,Rainy,2663.7,4.3,3.66,120.73,323.55
Ahmedabad-Rajkot-Route-1-NH 47,Ahmedabad,Rajkot,NH 47,441.42,Urban,Low,Rainy,8130.85,2.57,2.18,202.03,541.45
Ahmedabad-Rajkot-Route-1-NH 47,Ahmedabad,Rajkot,NH 47,441.42,Mixed,Low,Rainy,12258.48,4.43,3.76,117.28,314.32
Ahmedabad-Rajkot-Route-1-NH 47,Ahmedabad,Rajkot,NH 47,441.42,Highway,Low,Foggy,3931.51,3.74,3.18,138.89,372.23
Ahmedabad-Rajkot-Route-1-NH 47,Ahmedabad,Rajkot,NH 47,441.42,Urban,Low,Foggy,5138.37,2.9,2.46,179.26,480.43
Ahmedabad-Rajkot-Route-1-NH 47,Ahmedabad,Rajkot,NH 47,441.42,Mixed,Low,Foggy,12481.35,4.27,3.63,121.56,325.78
Ahmedabad-Rajkot-Route-1-NH 47,Ahmedabad,Rajkot,NH 47,441.42,Highway,Low,Summer,7609.72,3.48,3.3,133.57,357.96
Ahmedabad-Rajkot-Route-1-NH 47,Ahmedabad,Rajkot,NH 47,441.42,Urban,Low,Summer,7753.21,3.62,3.44,128.19,343.55
Ahmedabad-Rajkot-Route-1-NH 47,Ahmedabad,Rajkot,NH 47,441.42,Mixed,Low,Summer,5083.34,4.2,3.99,110.62,296.47
Ahmedabad-Rajkot-Route-1-NH 47,Ahmedabad,Rajkot,NH 47,441.42,Highway,Low,Storm,12009.87,4.2,3.57,123.66,331.41
Ahmedabad-Rajkot-Route-1-NH 47,Ahmedabad,Rajkot,NH 47,441.42,Urban,Low,Storm,7145.9,3.79,3.22,137.0,367.15
Ahmedabad-Rajkot-Route-1-NH 47,Ahmedabad,Rajkot,NH 47,441.42,Mixed,Low,Storm,13313.53,4.01,3.41,129.56,347.21
Ahmedabad-Rajkot-Route-1-NH 47,Ahmedabad,Rajkot,NH 47,441.42,Highway,Medium,Clear,15777.77,2.91,2.62,168.51,451.59
Ahmedabad-Rajkot-Route-1-NH 47,Ahmedabad,Rajkot,NH 47,441.42,Urban,Medium,Clear,5998.04,3.17,2.85,154.85,415.0
Ahmedabad-Rajkot-Route-1-NH 47,Ahmedabad,Rajkot,NH 47,441.42,Mixed,Medium,Clear,13725.62,4.16,3.75,117.76,315.61
Ahmedabad-Rajkot-Route-1-NH 47,Ahmedabad,Rajkot,NH 47,441.42,Highway,Medium,Rainy,13646.0,3.3,2.53,174.73,468.28
Ahmedabad-Rajkot-Route-1-NH 47,Ahmedabad,Rajkot,NH 47,441.42,Urban,Medium,Rainy,12418.42,4.06,3.11,142.04,380.66
Ahmedabad-Rajkot-Route-1-NH 47,Ahmedabad,Rajkot,NH 47,441.42,Mixed,Medium,Rainy,3294.41,4.49,3.44,128.49,344.36
Ahmedabad-Rajkot-Route-1-NH 47,Ahmedabad,Rajkot,NH 47,441.42,Highway,Medium,Foggy,2291.59,4.09,3.13,141.02,377.93
Ahmedabad-Rajkot-Route-1-NH 47,Ahmedabad,Rajkot,NH 47,441.42,Urban,Medium,Foggy,12904.73,3.68,2.81,156.82,420.29
Ahmedabad-Rajkot-Route-1-NH 47,Ahmedabad,Rajkot,NH 47,441.42,Mixed,Medium,Foggy,5117.59,3.35,2.56,172.36,461.92
Ahmedabad-Rajkot-Route-1-NH 47,Ahmedabad,Rajkot,NH 47,441.42,Highway,Medium,Summer,13427.97,3.75,3.21,137.55,368.64
Ahmedabad-Rajkot-Route-1-NH 47,Ahmedabad,Rajkot,NH 47,441.42,Urban,Medium,Summer,6966.5,3.66,3.13,140.97,377.81
Ahmedabad-Rajkot-Route-1-NH 47,Ahmedabad,Rajkot,NH 47,441.42,Mixed,Medium,Summer,9611.96,3.13,2.67,165.15,442.61
